('BR015', 'Keribang *ubi *segar', 'KZGPI-1990', 67.0, 137, 1.3, 1.1, 29.8,0.6),  
('BR016', 'Ketela pohon/singkong *segar', 'KZGPI-1990', 61.4, 154, 1.0, 0.3, 36.8,0.9),  
('BR017', 'Lepok/Ubi rumput', 'KZGMI-2001', 55.3, 181, 2.8, 1.2, 39.8,10.7),  
('BR018', 'Sagu aren *kering', 'KZGPI-1990', 11.9, 355, 0.6, 1.1, 85.6,0.3),  
('BR019', 'Sagu aren *segar', 'KZGMI-2001', 42.5, 231, 0.6, 0.2, 56.6,3.2),  
('BR020', 'Sagu kasbi segar', 'KZGMI-2001', 42.5, 230, 0.6, 0.2, 56.5,3.0),  
('BR021', 'Sagu lempeng', 'KZGMI-2001', 13.5, 347, 0.9, 0.3, 85.2,4.7),  
('BR022', 'Sagu singkong *kering', 'DABM-1964', 12.0, 362, 0.5, 0.3, 86.9,NULL),
('BR023', 'Sente *talas *segar', 'DABM-1964', 14.0, 353, 0.7, 0.2, 84.7, 6.6),  
('BR024', 'Suweg *talas *segar', 'KZGPI-1990', 80.1, 74, 1.4, 0.1, 17.2, 1.4),  
('BR025', 'Talas bogor *segar', 'KZGPI-1990', 72.4, 108, 1.4, 0.4, 25.0, 0.9),  
('BR026', 'Talas pontianak *segar', 'KZGPI-1990', 60.0, 163, 2.3, 0.5, 36.4, 0.7),  
('BR027', 'Talas viqueque *segar', 'KZGMI-2001', 70.6, 115, 1.8, 0.5, 25.9, 8.6),  
('BR028', 'Ubi jalar *kuning *segar', 'KZGMI-2001', 72.6, 119, 0.5, 0.4, 25.1, 4.2),  
('BR029', 'Ubi jalar manis *segar', 'KZGPI-1990', 78.4, 83, 1.5, 0.2, 18.8, 0.6),  
('BR030', 'Ubi jalar merah *segar', 'KZGPI-1990', 61.9, 151, 1.6, 0.3, 35.4, 0.7),  
('BR031', 'Ubi jalar putih *segar', 'KZGMI-2001', 77.8, 88, 0.4, 0.4, 20.6, 4.0),  
('BR032', 'Ubi jalar tinta *kemayung', 'KZGMI-2001', 72.5, 108, 0.5, 0.4, 25.6, 4.2),  
('BR033', 'Umbi Uwi *segar', 'BKP', 69.7, 120, 2.8, 0.5, 82.3, 2.6),  
('BP001', 'Batatas kelapa *ubi *bakar', 'KZGMI-2001', 73.2, 110, 1.4, 1.1, 23.4, 4.5),  
('BP002', 'Batatas kelapa *ubi *kukus', 'KZGMI-2001', 75.7, 92, 1.2, 0.3, 21.0, 4.1),  
('BP003', 'Batatas tali *ubi *rebus', 'KZGMI-2001', 53.2, 182, 2.4, 0.4, 42.2, 9.2),  
('BP004', 'Belitung *talas *kukus', 'KZGPI-1990', 63.1, 145, 1.2, 0.4, 34.2, 1.0),  
('BP005', 'Bentul *talas *kukus', 'KZGPI-1990', 81.1, 71, 2.3, 0.3, 15.4, 0.5),  
('BP006', 'Gadung *ubi *kukus', 'KZGPI-1990', 77.4, 88, 0.6, 0.3, 20.9, 0.9),  
('BP007', 'Ganyong *rebus', 'KZGPI-1990', 74.1, 100, 0.8, 0.2, 23.8, 0.9),  
('BP008', 'Ketela pohon/singkong kukus', 'KZGPI-1990', 61.5, 153, 1.2, 0.3, 36.4, 1.3),  
('BP009', 'Suweg *talas *kukus', 'KZGPI-1990', 75.5, 93, 1.5, 0.1, 21.9, 0.9),  
('BP010', 'Talas bogor *kukus', 'KZGPI-1990', 69.2, 120, 1.5, 0.3, 28.2, 0.7),  
('BP011', 'Ubi jalar *kuning *kukus', 'KZGPI-1990', 74.2, 100, 0.7, 0.3, 23.8, 1.0),  
('BP012', 'Ubi jalar tinta *kemayung kukus', 'KZGPI-1990', 58.5, 165, 0.9, 0.2, 39.8, 1.1),
('BP013', 'Bagea kelapa asin', 'KZGMI-2001', 3.5, 450, 3.2, 13.9, 78.1, NULL),  
('BP014', 'Bagea kelapa manis', 'KZGMI-2001', 3.0, 452, 1.3, 13.8, 80.6, NULL),  
('BP015', 'Bagea kenari asin', 'KZGMI-2001', 2.8, 529, 3.2, 29.1, 63.6, NULL),  
('BP016', 'Bagea kenari manis', 'KZGMI-2001', 3.1, 523, 3.2, 28.2, 64.2, NULL),  
('BP017', 'Bagea kw 1', 'KZGPI-1990', 7.2, 416, 6.5, 9.4, 76.3, 0.4),  
('BP018', 'Bagea kw 2', 'KZGPI-1990', 7.9, 382, 0.3, 3.5, 87.2, 0.9),  
('BP019', 'Beras Cerdas', 'BKP', 11.3, 350, 2.7, 1.1, 82.3, 6.2),  
('BP020', 'Beras ganyong', 'BKP', 9.3, 364, 3.4, 0.7, 86.3, 4.7),  
